Codi;PORIND
0801905100;15
0801905101;20
0801905102;35
0801905103;10
0801905104;21
0801905105;38
0801905106;18
0801905107;24
0801905109;28
0801905110;40
0801905112;35
0801905115;45
0801905117;35
0801905118;23
0801905120;26
0801905121;12
0801905122;19
0801905124;12
0801905125;18
0801905126;12
0801905127;14
0801905129;21
0801905131;22
0801905133;11
0801905134;11
0801905135;31
0801905136;16
0801905137;27
0801905138;14
0801905139;15
0801905140;31
0801905141;33
0801905144;12
0801905145;20
0801905146;24
0801905147;15
0801905148;31
0801905149;53
0801905152;22
0801905153;17
0801905154;10
0801905155;12
0801905156;32
0801905157;13
0801905158;26
0801905160;31
0801905161;26
0801905162;34
0801905164;29
0801905165;28
0801905166;34
0801905168;18
0801905169;23
0801905170;15
0801905171;23
0801905174;30
0801905175;50
0801905177;17
0801905178;35
0801905180;29
0801905182;58
0801905183;72
0801906001;60
0801906004;45
0801906006;57
0801906008;45
0801906010;46
0801906011;62
0801906012;21
0801906013;37
0801906014;57
0801906016;39
0801906017;31
0801906018;51
0801906019;36
0801906020;58
0801906021;32
0801906022;60
0801906023;56
0801906026;43
0801906028;36
0801906029;37
0801906030;42
0801906031;47
0801906032;57
0801906033;44
0801906034;68
0801906035;61
0801906036;25
0801906037;41
0801906038;56
0801906039;33
0801906040;56
0801906041;82
0801906042;43
0801906043;68
0801906044;72
0801906045;45
0801906047;29
0801906048;36
0801906049;52
0801906050;48
0801906052;65
0801906054;39
0801906055;72
0801906056;36
0801906057;78
0801906058;11
0801906059;52
0801906060;34
0801906061;34
0801906063;30
0801906064;38
0801906066;79
0801906068;45
0801906069;87
0801906072;55
0801906074;60
0801906076;44
0801906077;31
0801906078;65
0801906080;68
0801906082;60
0801906084;36
0801906085;31
0801906086;42
0801906088;50
0801906089;26
0801906091;28
0801906092;30
0801906093;45
0801906094;43
0801906095;36
0801906096;20
0801906097;45
0801906098;27
0801906100;47
0801906102;34
0801906103;39
0801906104;33
0801906105;37
0801906106;66
0801906107;65
0801906109;46
0801906110;51
0801906112;45
0801906113;43
0801906114;68
0801906115;58
0801906116;28
0801906117;42
0801906118;28
0801906119;47
0801906120;39
0801906121;44
0801906122;48
0801906124;31
0801906125;38
0801906127;36
0801906128;45
0801906129;34
0801906130;47
0801906131;65
0801906132;63
0801906133;55
0801906134;79
0801906136;68
0801906137;20
0801906138;53
0801906139;43
0801906140;47
0801906141;39
0801906142;78
0801906144;75
0801906145;128
0801906146;97
0801906148;80
0801906149;35
0801906150;52
0801906152;40
0801906153;60
0801906154;125
0801906157;67
0801906158;83
0801907001;122
0801907002;50
0801907003;39
0801907004;51
0801907007;58
0801907008;88
0801907009;69
0801907010;65
0801907011;61
0801907012;41
0801907013;70
0801907014;62
0801907015;47
0801907016;101
0801907018;43
0801907019;35
0801907020;57
0801907023;36
0801907024;48
0801907026;51
0801907027;28
0801907028;40
0801907029;59
0801907031;79
0801907032;42
0801907033;55
0801907034;75
0801907036;49
0801907037;50
0801907038;63
0801907039;44
0801907040;50
0801907041;38
0801907042;44
0801907043;54
0801907044;63
0801907045;56
0801907047;59
0801907048;89
0801907050;48
0801907051;79
0801907052;55
0801907053;53
0801907054;44
0801907055;87
0801907056;79
0801907057;70
0801907058;61
0801907060;75
0801907062;63
0801907064;39
0801907065;85
0801907066;21
0801907067;120
0801907068;46
0801907070;68
0801907071;53
0801907072;126
0801907073;69
0801907074;75
0801907075;74
0801907076;70
0801907078;98
0801907079;80
0801907080;49
0801907081;53
0801907083;71
0801907084;76
0801907085;68
0801907086;71
0801907088;80
0801907089;129
0801907091;99
0801907092;88
0801907093;243
0801907094;131
0801907095;211
0801907097;115
0801907098;114
0801907100;82
0801907101;38
0801907102;32
0801907103;53
0801907104;90
0801907105;47
0801907106;35
0801907107;28
0801907108;60
0801907109;73
0801907110;181
0801907112;83
0801907113;99
0801907114;92
0801907116;139
0801907117;154
0801907118;171
0801907119;115
0801907120;136
0801907121;98
0801907122;183
0801907123;268
0801907124;128
0801907125;168
0801907127;74
0801907128;92
0801907129;74
0801907130;78
0801907131;134
0801907132;75
0801907133;138
0801907134;176
0801907136;76
0801907137;122
0801907138;109
0801907139;129
0801907140;60
0801907141;94
0801907142;126
0801907144;166
0801907147;115
0801907148;129
0801907150;77
0801907151;55
0801907152;57
0801907155;77
0801907157;83
0801907158;74
0801907159;94
0801907160;72
0801907161;49
0801907162;83
0801907163;127
0801907165;81
0801907166;114
0801907167;67
0801907169;50
0801907170;103
0801907172;64
0801907173;104
0801907174;78
0801907176;29
0801907177;136
0801907179;57
0801907180;59
0801907181;115
0801907183;92
0801907184;97
0801907185;71
0801907187;75
0801907188;156
0801907189;118
0801907190;92
0801907191;58
0801907192;50
0801907193;49
0801907194;31
0801907195;92
0801907196;68
0801907197;40
0801907198;43
0801907200;44
0801907201;53
0801907202;53
0801907204;188
0801907205;162
0801907207;145
0801907209;137
0801907210;226
0801907211;238
0801907213;126
0801907214;77
0801907215;165
0801907217;69
0801907218;71
0801907219;104
0801907220;124
0801907221;108
0801908001;101
0801908002;47
0801908003;109
0801908005;81
0801908006;82
0801908007;80
0801908008;141
0801908010;124
0801908011;85
0801908012;50
0801908013;124
0801908014;72
0801908015;100
0801908017;64
0801908018;118
0801908019;80
0801908020;87
0801908021;75
0801908022;57
0801908024;77
0801908027;79
0801908028;148
0801908029;99
0801908030;70
0801908033;74
0801908034;83
0801908036;90
0801908039;65
0801908040;53
0801908041;70
0801908042;68
0801908043;58
0801908044;149
0801908045;64
0801908046;112
0801908047;123
0801908048;72
0801908049;139
0801908050;86
0801908051;104
0801908052;106
0801908053;123
0801908054;74
0801908055;83
0801908056;103
0801908057;107
0801908058;119
0801908060;111
0801908062;157
0801908064;42
0801908065;83
0801908066;54
0801908067;85
0801908068;78
0801908069;4
0801908070;26
0801908071;83
0801908072;55
0801908073;66
0801908074;76
0801908076;105
0801908077;125
0801908080;133
0801908082;32
0801908083;36
0801908084;95
0801908085;76
0801908086;124
0801908088;66
0801908089;93
0801908090;141
0801908091;309
0801908092;185
0801908093;221
0801908094;37
0801908095;41
0801908096;90
0801908097;79
0801908098;127
0801908100;92
0801908101;90
0801908102;88
0801908103;106
0801908104;73
0801908107;133
0801908108;115
0801908109;89
0801908111;104
0801908112;70
0801908113;90
0801908114;121
0801908115;134
0801908116;161
0801908117;104
0801908119;136
0801908121;95
0801908122;144
0801908123;78
0801908124;84
0801908126;186
0801908127;110
0801908129;152
0801908131;150
0801908133;106
0801908134;70
0801908135;157
0801908136;89
0801908138;137
0801908140;213
0801908141;119
0801908142;228
0801908143;122
0801908144;216
0801908145;106
0801908146;183
0801908147;95
0801908149;93
0801908150;88
0801908151;121
0801908152;149
0801908153;85
0801908154;97
0801908155;115
0801908156;142
0801908158;102
0801908160;111
0801908161;87
0801908162;116
0801908163;175
0801908164;69
0801908166;100
0801908167;151
0801908168;124
0801908170;84
0801908171;141
0801908172;106
0801908173;156
0801908174;159
0801908176;100
0801908178;143
0801908180;135
0801908181;120
0801908182;110
0801908183;140
0801908184;121
0801908185;122
0801908186;170
0801908187;102
0801908188;92
0801908189;181
0801908190;193
0801908191;216
0801908192;80
0801908193;239
0801908194;251
0801908195;107
0801908196;91
